id,Brown dwarf,Constellation,Right ascension,Declination,App.mag.,Distance,Spectraltype,Mass,Radius,Discovery year
1752,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1753,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1754,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1755,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1756,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1757,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1758,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1759,2MASS J14112131-2119503,,21h 50m 19.5s,−21° 19′ 50″,,,M9β,,,n/a
1760,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1761,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1762,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1763,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1764,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1765,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1766,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1767,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1768,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1769,2MASSW J2206450-421721,,22h 6m 44.98s,−42° 17′ 20.8″,,93,L4γ,22,1.33,n/a
1770,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1771,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
1772,2MASSW J2208136+292121,,22h 8m 13.63s,29° 21′ 21.5″,,154,L3γ,27,1.41,n/a
